id,galaxySentiment,iphoneSentiment
446,0,0
447,0,-10
448,0,-10
449,0,40
450,0,0
451,0,0
452,0,-20
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,-10
459,0,80
460,0,0
461,0,0
462,0,10
463,0,0
464,0,0
465,0,-10
466,0,0
467,0,0
468,0,10
469,0,10
470,0,60
471,0,190
472,0,0
473,0,0
474,0,0
475,0,-10
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,-10
483,0,0
484,0,-20
485,0,2
486,0,10
487,0,0
488,0,5
489,0,0
490,0,0
491,0,4
492,0,0
493,0,0
494,0,0
495,0,40
496,0,0
497,0,3
498,0,10
499,0,0
500,0,0
501,0,10
502,0,0
503,-39,0
504,0,40
505,0,-9
506,0,0
507,0,10
508,0,-10
509,0,0
510,0,-10
511,0,0
512,0,11
513,0,0
514,0,20
515,0,1
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,-10
525,0,0
526,0,0
527,0,0
528,0,0
529,0,-10
530,0,2
531,0,0
532,0,0
533,0,0
534,0,20
535,0,0
536,-57,0
537,0,0
538,0,0
539,0,40
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,-10
546,0,0
547,0,0
548,0,10
549,0,0
550,0,30
551,0,20
552,0,0
553,10,0
554,0,0
555,0,0
556,0,0
557,0,-40
558,0,0
559,60,0
560,0,0
561,0,0
562,0,0
563,0,-20
564,0,1
565,0,0
566,0,0
567,0,-20
568,-10,0
569,20,0
570,0,23
571,0,0
572,50,0
573,0,0
574,0,-9
575,0,-20
576,0,-10
577,0,-40
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,1
584,0,10
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,10,0
592,0,-10
593,0,0
594,0,0
595,2,0
596,10,0
597,0,0
598,0,23
599,0,0
600,0,10
601,0,10
602,0,12
603,0,0
604,0,0
605,0,60
606,0,5
607,0,0
608,0,1
609,0,-10
610,0,-20
611,0,-10
612,0,0
613,0,10
614,0,20
615,0,20
616,0,0
617,0,0
618,0,0
619,10,0
620,10,0
621,0,0
622,0,1
623,10,0
624,10,0
625,0,4
626,0,0
627,0,0
628,0,0
629,0,-10
630,0,0
631,0,20
632,0,0
633,0,0
634,0,21
635,0,0
636,0,2
637,0,0
638,0,-20
639,0,15
640,0,10
641,0,0
642,10,0
643,10,0
644,0,0
645,30,0
646,10,0
647,0,63
648,0,0
649,0,0
650,0,1
651,0,0
652,0,0
653,0,0
654,0,-10
655,0,0
656,0,-20
657,0,0
658,0,0
659,0,0
660,0,10
661,0,0
662,0,1
663,0,10
664,0,0
665,0,7
666,0,-10
667,0,0
668,0,0
669,0,0
670,0,0
671,0,2
672,0,40
673,0,40
674,0,0
675,10,0
676,-37,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,-10
682,0,0
683,0,-38
684,0,-19
685,20,20
686,0,11
687,0,20
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,10
695,0,0
696,-57,-57
697,0,11
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,1
705,0,0
706,0,1
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,22
713,0,0
714,0,0
715,0,1
716,0,10
717,0,0
718,0,0
719,0,0
720,10,10
721,-20,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,20
727,0,0
728,0,0
729,0,40
730,0,40
731,0,30
732,0,-20
733,0,0
734,0,0
735,0,0
736,0,1
737,0,0
738,0,0
739,0,1
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,-10
748,0,20
749,0,40
750,0,1
751,0,0
752,0,10
753,0,0
754,-18,-18
755,0,30
756,0,-10
757,0,2
758,0,0
759,0,0
760,0,0
761,0,-10
762,0,32
763,0,0
764,0,-20
765,0,0
766,24,24
767,0,0
768,0,0
769,0,0
770,0,0
771,0,31
772,0,0
773,0,0
774,0,0
775,0,1
776,0,12
777,0,0
778,0,0
779,0,0
780,0,-20
781,0,20
782,0,0
783,20,0
784,0,0
785,0,61
786,0,0
787,0,0
788,0,-50
789,0,3
790,0,-10
791,30,30
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,20
798,0,0
799,0,0
800,0,0
801,0,2
802,30,0
803,0,0
804,0,1
805,0,0
806,0,0
807,-27,-27
808,-38,0
809,0,0
810,0,10
811,0,0
812,0,18
813,0,0
814,0,12
815,0,0
816,0,0
817,0,10
818,0,0
819,0,0
820,0,0
821,-50,0
822,0,0
823,0,0
824,0,21
825,0,0
826,0,0
827,0,0
828,0,-10
829,0,0
830,0,0
831,0,-40
832,0,0
833,0,0
834,0,0
835,0,0
836,0,2
837,0,1
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,40,0
844,40,40
845,3,0
846,0,1
847,0,-10
848,0,0
849,0,0
850,0,20
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,11
857,0,-9
858,0,0
859,0,10
860,0,1
861,0,0
862,0,-10
863,0,0
864,0,0
865,4,0
866,0,10
867,0,0
868,0,0
869,40,0
870,0,0
871,0,0
872,0,0
873,0,1
874,0,1
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,-10
881,0,0
882,0,0
883,0,0
884,-27,0
885,0,0
886,0,1
887,0,0
888,0,-20
889,0,0
890,30,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,-50
898,0,-10
899,0,2
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,-10
907,0,1
908,0,10
909,0,0
910,0,2
911,0,0
912,0,0
913,0,0
914,0,10
915,0,0
916,0,20
917,0,20
918,0,0
919,0,10
920,0,0
921,0,0
922,0,1
923,0,21
924,0,-10
925,0,0
926,0,0
927,0,0
928,0,-40
929,0,0
930,0,-10
931,0,0
932,0,0
933,10,0
934,0,1
935,0,0
936,0,-30
937,0,-10
938,0,0
939,0,0
940,0,0
941,0,0
942,0,1
943,0,0
944,0,0
945,0,-10
946,0,1
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,10
953,0,10
954,0,0
955,0,0
956,0,1
957,0,10
958,0,0
959,0,0
960,0,21
961,0,0
962,0,10
963,0,0
964,0,0
965,0,-10
966,0,0
967,0,-10
968,10,0
969,0,0
970,0,10
971,0,-10
972,0,0
973,0,-10
974,0,0
975,0,0
976,0,0
977,0,-10
978,0,0
979,0,0
980,0,0
981,0,10
982,0,0
983,0,0
984,0,1
985,0,-10
986,0,0
987,0,-20
988,0,1
989,0,0
990,-10,0
991,0,0
992,0,-10
993,0,0
994,0,20
995,0,0
996,10,0
997,0,0
998,0,0
999,0,0
1000,0,0
1001,0,0
1002,0,11
1003,10,0
1004,0,10
1005,0,0
1006,0,10
1007,0,0
1008,0,0
1009,10,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0,0
1017,0,0
1018,0,10
1019,0,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,10
1025,0,0
1026,0,0
1027,0,0
1028,0,0
1029,0,2
1030,0,0
1031,0,1
1032,10,0
1033,0,0
1034,0,0
1035,0,1
1036,0,0
1037,0,10
1038,0,-10
1039,0,21
1040,0,0
1041,0,-20
1042,0,0
1043,0,0
1044,0,0
1045,0,10
1046,0,0
1047,0,0
1048,0,0
1049,0,-10
1050,0,0
1051,10,0
1052,0,10
1053,10,0
1054,0,10
1055,0,0
1056,0,0
1057,10,0
1058,0,-10
1059,0,0
1060,0,-20
1061,0,0
1062,0,0
1063,0,0
1064,0,0
1065,0,1
1066,0,0
1067,0,0
1068,10,0
1069,0,0
1070,10,0
1071,0,0
1072,0,0
1073,0,0
1074,0,1
1075,10,10
1076,0,0
1077,0,0
1078,0,0
1079,0,0
1080,0,0
1081,0,0
1082,0,0
1083,0,0
1084,-20,0
1085,0,0
1086,0,0
1087,0,-50
1088,0,0
1089,0,-10
1090,0,0
1091,0,0
1092,0,0
1093,0,164
1094,10,10
1095,0,1
1096,0,0
1097,0,0
1098,0,0
1099,0,0
1100,0,0
1101,1,0
1102,0,0
1103,0,0
1104,0,8
1105,0,1
1106,0,-10
1107,0,-10
1108,0,10
1109,0,2
1110,0,0
1111,0,0
1112,0,0
1113,0,0
1114,0,-19
1115,3,0
1116,0,0
1117,0,-6
1118,0,0
1119,0,-29
1120,0,0
1121,0,0
1122,0,0
1123,0,0
1124,0,0
1125,0,0
1126,0,12
1127,0,0
1128,0,0
1129,0,0
1130,0,0
1131,0,0
1132,0,0
1133,0,0
1134,1,0
1135,0,0
1136,0,0
1137,0,-27
1138,0,0
1139,0,0
1140,0,0
1141,0,0
1142,0,0
1143,0,14
1144,0,0
1145,0,-10
1146,36,36
1147,0,-10
1148,0,0
1149,80,0
1150,0,0
1151,0,10
1152,0,40
1153,0,0
1154,0,10
1155,0,10
1156,0,0
1157,0,60
1158,0,-20
1159,0,0
1160,0,1
1161,0,0
1162,0,0
1163,0,0
1164,0,0
1165,0,-10
1166,0,0
1167,0,0
1168,0,0
1169,0,0
1170,0,0
1171,0,1
1172,0,0
1173,0,0
1174,0,1
1175,0,10
1176,0,10
1177,0,0
1178,-29,0
1179,0,0
1180,0,0
1181,0,0
1182,0,0
1183,0,1
1184,0,14
1185,0,-9
1186,0,0
1187,0,0
1188,0,0
1189,0,33
1190,0,-10
1191,0,0
1192,30,0
1193,0,10
1194,0,0
1195,0,0
1196,0,0
1197,0,0
1198,0,0
1199,0,1
1200,0,-10
1201,0,0
1202,0,-30
1203,0,0
1204,0,0
1205,0,0
1206,0,1
1207,0,10
1208,0,0
1209,10,0
1210,0,-30
1211,0,10
1212,0,1
1213,0,0
1214,0,0
1215,0,0
1216,0,1
1217,0,10
1218,0,0
1219,0,0
1220,0,0
1221,2,0
1222,0,10
1223,20,0
1224,0,0
1225,0,0
1226,0,0
1227,0,0
1228,0,22
1229,0,0
1230,0,-10
1231,0,0
1232,0,20
1233,0,-20
1234,0,0
1235,0,0
1236,0,0
1237,0,0
1238,0,-10
1239,0,0
1240,0,0
1241,0,0
1242,1,1
1243,0,1
1244,2,0
1245,10,10
1246,0,0
1247,0,0
1248,50,0
1249,-8,0
1250,0,0
1251,0,0
1252,0,-10
1253,0,0
1254,0,0
1255,0,0
1256,0,20
1257,0,0
1258,0,1
1259,0,0
1260,0,0
1261,30,30
1262,0,-10
1263,0,0
1264,0,0
1265,0,0
1266,0,130
1267,-34,0
1268,20,0
1269,0,0
1270,-28,0
1271,0,0
1272,0,0
1273,0,0
1274,0,0
1275,10,0
1276,0,1
1277,0,0
1278,-10,-10
1279,0,0
1280,0,0
1281,0,1
1282,20,0
1283,0,-20
1284,0,0
1285,11,11
1286,0,10
1287,0,0
1288,0,0
1289,10,10
1290,-10,0
1291,25,25
1292,70,0
1293,-30,0
1294,10,0
1295,0,0
1296,0,-76
1297,0,0
1298,0,10
1299,0,1
1300,0,-100
1301,0,20
1302,0,0
1303,0,10
1304,20,0
1305,0,0
1306,0,0
1307,0,0
1308,0,10
1309,0,10
1310,0,0
1311,0,0
1312,-12,0
1313,40,0
1314,0,0
1315,0,0
1316,-27,0
1317,0,0
1318,0,46
1319,0,-19
1320,0,2
1321,0,0
1322,0,0
1323,0,0
1324,0,0
1325,0,-20
1326,0,0
1327,0,0
1328,0,0
1329,-9,0
1330,0,20
1331,0,-10
1332,0,0
1333,0,0
1334,0,0
1335,-10,-10
1336,10,0
1337,-58,-58
1338,50,0
1339,2,0
1340,0,0
1341,0,0
1342,0,0
1343,0,0
1344,0,70
1345,0,0
1346,0,0
1347,0,0
1348,0,0
1349,0,3
1350,0,-20
1351,0,20
1352,20,0
1353,0,0
1354,0,0
1355,0,0
1356,0,32
1357,0,-10
1358,0,0
1359,0,0
1360,0,0
1361,0,10
1362,0,0
1363,0,0
1364,-18,0
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,2
1370,0,1
1371,0,0
1372,0,10
1373,0,0
1374,0,20
1375,0,0
1376,0,0
1377,0,0
1378,0,0
1379,0,0
1380,0,0
1381,0,0
1382,0,0
1383,0,0
1384,0,0
1385,0,0
1386,0,0
1387,0,0
1388,0,0
1389,0,0
1390,0,0
1391,0,0
1392,0,0
1393,0,0
1394,0,21
1395,0,10
1396,0,0
1397,0,0
1398,0,0
1399,0,60
1400,0,10
1401,0,10
1402,0,0
1403,0,0
1404,0,0
1405,0,0
1406,0,-10
1407,0,10
1408,35,0
1409,0,0
1410,0,0
1411,0,1
1412,0,0
1413,0,0
1414,40,0
1415,0,0
1416,0,0
1417,0,-40
1418,0,8
1419,0,0
1420,0,70
1421,5,0
1422,0,0
1423,0,0
1424,30,0
1425,0,0
1426,0,0
1427,0,11
1428,-34,0
1429,0,20
1430,20,0
1431,0,0
1432,0,20
1433,0,0
1434,0,0
1435,0,0
1436,0,0
1437,-25,0
1438,0,0
1439,0,0
1440,0,0
1441,-36,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,0,0
1447,0,2
1448,0,0
1449,-25,0
1450,0,0
1451,0,0
1452,0,0
1453,0,40
1454,0,0
1455,0,111
1456,10,0
1457,0,0
1458,0,0
1459,0,0
1460,0,0
1461,70,0
1462,0,-9
1463,0,0
1464,0,0
1465,4,0
1466,0,0
1467,0,0
1468,0,0
1469,0,0
1470,0,-9
1471,0,80
1472,0,-10
1473,-30,0
1474,0,0
1475,0,0
1476,4,0
1477,0,0
1478,0,0
1479,0,0
1480,0,0
1481,0,20
1482,0,0
1483,0,10
1484,0,23
1485,0,0
1486,0,0
1487,0,-10
1488,0,0
1489,0,0
1490,0,0
1491,50,0
1492,0,0
1493,0,0
1494,0,1
1495,60,0
1496,0,0
1497,3,0
1498,0,2
1499,0,0
1500,0,1
1501,0,0
1502,0,0
1503,0,-10
1504,-40,0
1505,0,0
1506,0,0
1507,0,1
1508,0,0
1509,0,0
1510,0,0
1511,0,31
1512,0,0
1513,0,0
1514,10,0
1515,0,10
1516,0,0
1517,0,0
1518,0,0
1519,1,41
1520,0,0
1521,10,0
1522,-76,-76
1523,10,0
1524,10,0
1525,0,0
1526,0,20
1527,20,0
1528,0,0
1529,0,0
1530,0,20
1531,0,0
1532,0,0
1533,0,0
1534,0,1
1535,0,0
1536,0,0
1537,10,0
1538,0,-10
1539,0,-20
1540,0,0
1541,-10,0
1542,0,30
1543,0,0
1544,0,10
1545,0,0
1546,20,0
1547,0,0
1548,10,0
1549,10,0
1550,0,0
1551,0,3
1552,0,0
1553,0,0
1554,0,0
1555,0,0
1556,570,570
1557,10,0
1558,10,0
1559,0,-10
1560,0,-10
1561,0,22
1562,0,0
1563,-23,-23
1564,10,0
1565,0,1
1566,0,-20
1567,10,0
1568,0,0
1569,10,0
1570,10,0
1571,0,-20
1572,0,0
1573,0,1
1574,0,0
1575,0,10
1576,0,0
1577,10,0
1578,0,0
1579,0,1
1580,0,12
1581,10,0
1582,0,11
1583,0,0
1584,0,0
1585,0,10
1586,0,0
1587,0,0
1588,0,0
1589,0,-30
1590,10,0
1591,10,0
1592,10,0
1593,10,0
1594,100,100
1595,0,0
1596,0,0
1597,0,0
1598,0,-19
1599,10,0
1600,0,0
1601,0,0
1602,10,0
1603,0,-60
1604,0,11
1605,0,10
1606,0,10
1607,0,0
1608,0,0
1609,0,0
1610,0,0
1611,0,0
1612,0,1
1613,0,0
1614,0,0
1615,0,0
1616,10,0
1617,0,0
1618,0,0
1619,0,2
1620,0,0
1621,0,0
1622,10,0
1623,0,40
1624,-100,-100
1625,10,0
1626,0,0
1627,0,0
1628,-10,0
1629,0,0
1630,0,0
1631,0,1
1632,0,1
1633,0,10
1634,0,0
1635,0,-29
1636,0,0
1637,0,0
1638,0,0
1639,0,0
1640,0,2
1641,0,0
1642,-40,0
1643,30,0
1644,0,10
1645,0,0
1646,0,0
1647,0,0
1648,0,0
1649,0,0
1650,0,0
1651,0,0
1652,0,0
1653,0,0
1654,0,-10
1655,-30,0
1656,20,0
1657,0,0
1658,-40,0
1659,0,0
1660,0,10
1661,0,0
1662,0,0
1663,0,0
1664,0,0
1665,0,0
1666,0,0
1667,0,0
1668,0,60
1669,0,10
1670,0,0
1671,50,0
1672,2,0
1673,0,0
1674,0,0
1675,60,0
1676,0,0
1677,0,0
1678,0,0
1679,0,0
1680,0,0
1681,0,0
1682,0,0
1683,0,-50
1684,0,-10
1685,0,0
1686,43,0
1687,-7,0
1688,4,0
1689,0,0
1690,0,0
1691,0,0
1692,0,0
1693,0,0
1694,0,6
1695,0,0
1696,0,1
1697,0,10
1698,-37,0
1699,0,0
1700,0,0
1701,20,0
1702,0,0
1703,-15,0
1704,0,0
1705,0,0
1706,0,0
1707,0,0
1708,0,10
1709,0,0
1710,0,10
1711,0,-20
1712,0,10
1713,0,0
1714,0,10
1715,0,0
1716,0,1
1717,0,0
1718,0,0
1719,-116,-116
1720,0,0
1721,0,10
1722,0,0
1723,0,0
1724,0,11
1725,0,10
1726,0,-30
1727,0,0
1728,0,10
1729,0,-10
1730,0,0
1731,0,0
1732,0,0
1733,0,0
1734,0,0
1735,0,0
1736,670,670
1737,0,-10
1738,0,10
1739,0,44
1740,0,0
1741,0,10
1742,0,1
1743,0,0
1744,0,-10
1745,0,0
1746,0,0
1747,0,-10
1748,0,-10
1749,0,21
1750,-83,-83
1751,0,0
1752,0,0
1753,0,0
1754,0,0
1755,0,0
1756,0,0
1757,0,0
1758,0,1
1759,0,1
1760,0,0
1761,0,0
1762,0,3
1763,0,11
1764,0,0
1765,0,-30
1766,0,0
1767,0,0
1768,0,0
1769,0,0
1770,0,20
1771,0,10
1772,0,30
1773,0,0
1774,0,0
1775,0,0
1776,0,0
1777,0,1
1778,0,10
1779,0,0
1780,0,-20
1781,0,0
1782,20,0
1783,0,0
1784,0,0
1785,4,0
1786,0,0
1787,0,0
1788,0,0
1789,0,0
1790,0,0
1791,10,0
1792,0,0
1793,3,0
1794,0,-20
1795,0,0
1796,0,20
1797,0,-10
1798,0,0
1799,0,1
1800,0,-20
1801,0,0
1802,0,0
1803,-37,-50
1804,0,20
1805,0,0
1806,0,0
1807,10,0
1808,0,0
1809,0,0
1810,0,0
1811,-20,0
1812,0,10
1813,0,0
1814,1,1
1815,0,0
1816,-20,0
1817,0,1
1818,0,0
1819,0,0
1820,0,-20
1821,0,0
1822,10,0
1823,0,0
1824,0,0
1825,0,-10
1826,2,0
1827,0,64
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,-10
1833,10,0
1834,0,0
1835,0,0
1836,0,2
1837,0,0
1838,40,0
1839,0,0
1840,0,0
1841,1,1
1842,0,0
1843,10,0
1844,0,0
1845,20,0
1846,0,31
1847,0,0
1848,0,1
1849,0,30
1850,0,40
1851,0,0
1852,0,1
1853,0,0
1854,0,0
1855,0,0
1856,0,-10
1857,20,0
1858,0,0
1859,0,0
1860,0,0
1861,0,30
1862,10,10
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,-10
1870,0,-20
1871,0,10
1872,10,0
1873,0,0
1874,0,0
1875,0,20
1876,0,0
1877,-45,0
1878,0,10
1879,0,20
1880,0,-30
1881,0,-20
1882,0,1
1883,10,0
1884,0,0
1885,0,0
1886,0,0
1887,60,0
1888,0,0
1889,0,0
1890,0,10
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,10,0
1902,0,0
1903,1,1
1904,0,10
1905,20,0
1906,0,-9
1907,0,0
1908,0,0
1909,0,3
1910,0,4
1911,0,-10
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,-27,0
1918,0,0
1919,60,10
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,30,30
1927,0,-18
1928,0,102
1929,0,1
1930,0,0
1931,0,1
1932,0,0
1933,0,0
1934,0,10
1935,0,0
1936,-57,-57
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,10,10
1944,0,0
1945,0,0
1946,0,1
1947,0,40
1948,0,0
1949,0,0
1950,0,-10
1951,0,0
1952,-10,0
1953,0,0
1954,10,10
1955,0,10
1956,0,0
1957,0,11
1958,0,10
1959,0,0
1960,0,-10
1961,0,0
1962,0,0
1963,0,0
1964,0,10
1965,-10,0
1966,0,30
1967,0,1
1968,0,0
1969,0,0
1970,0,0
1971,0,10
1972,0,0
1973,0,0
1974,10,0
1975,0,0
1976,0,3
1977,0,0
1978,0,0
1979,0,30
1980,0,100
1981,0,0
1982,0,-10
1983,-10,-20
1984,0,0
1985,0,20
1986,24,24
1987,0,-20
1988,0,-10
1989,-10,0
1990,0,0
1991,0,0
1992,10,0
1993,0,-10
1994,0,0
1995,0,0
1996,10,10
1997,0,0
1998,0,70
1999,0,0
2000,0,10
2001,0,0
2002,0,0
2003,0,0
2004,0,-10
2005,0,-10
2006,0,10
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,20
2013,0,0
2014,0,-7
2015,0,-10
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,0,0
2022,0,0
2023,0,113
2024,0,0
2025,0,0
2026,0,0
2027,0,0
2028,10,10
2029,0,0
2030,0,0
2031,0,-10
2032,0,4
2033,0,43
2034,0,0
2035,0,0
2036,0,1
2037,0,-10
2038,0,-20
2039,0,0
2040,0,0
2041,0,0
2042,10,0
2043,0,1
2044,0,0
2045,0,0
2046,0,0
2047,0,0
2048,0,1
2049,0,0
2050,0,10
2051,0,0
2052,0,0
2053,0,30
2054,0,20
2055,0,0
2056,-10,-20
2057,0,0
2058,0,1
2059,10,0
2060,0,0
2061,0,0
2062,0,0
2063,0,0
2064,0,0
2065,0,0
2066,0,0
2067,0,1
2068,0,0
2069,0,0
2070,0,0
2071,0,-79
2072,0,0
2073,0,0
2074,0,0
2075,0,0
2076,10,0
2077,0,0
2078,0,0
2079,0,1
2080,0,31
2081,0,0
2082,0,20
2083,0,0
2084,0,-10
2085,0,0
2086,0,0
2087,0,0
2088,0,-10
2089,0,0
2090,0,0
2091,0,-10
2092,0,0
2093,10,0
