,age,default,balance,housing,loan,day,month,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,job_other,job_pink collar,job_self-employed,job_technician,job_white collar,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown
y,0.025155017088381564,-0.02241896589073529,0.05283841028818198,-0.1391727024981962,-0.06818503472417951,-0.02834777672093533,0.01871703722790685,-0.07317200634585116,0.10362149401627622,0.09323577278885566,1.0,-0.07208313870994996,-0.019662309731875695,0.1028947764830727,-0.03248616102122271,0.0008550305237892782,-0.00896981534624379,0.03245443831692267,0.0027723674615931842,-0.06026038456976864,0.06352577267586335,-0.04039340313111409,-0.0363877310267277,0.06644826092046835,0.012053152233828673,0.13587293551748106,0.014042471738762469,-0.15093497075758547,0.009885453006028591,0.031955010866487915,0.30678821065129014,-0.1670506769848284
job_blue-collar,-0.04400214573838041,0.01034086520861502,-0.048756855577744035,0.17747486856417852,0.018291404611883517,-0.02289811520372591,-0.08661934934890358,0.008986249730561034,0.020063310825232585,-0.01709535852553472,-0.07208313870994996,1.0,-0.09658527181296776,-0.18035644635771064,-0.19276872211833226,-0.09963315193420896,-0.23537572351781838,-0.3622344430987712,-0.0625178919815458,0.1220334330380961,-0.08831540903586528,0.342687866062753,0.040548394566717924,-0.3205411229265134,0.014715447652295866,-0.129315911419099,-0.0031901718668915758,0.1381405931903527,0.00225446821632616,0.001341792321319697,-0.053073791526025246,0.022194397980248092
job_entrepreneur,0.02179181852959289,0.026280996778395068,0.009642376816187341,0.010600051436503478,0.039808166388444026,-0.0023119257511840362,0.025127873347396752,0.0021284480117247672,-0.014203221390363951,-0.008180631703482632,-0.019662309731875695,-0.09658527181296776,1.0,-0.06350557405539634,-0.06787607876109081,-0.03508197592212705,-0.08287849279905604,-0.12754690345811165,0.003007166555213594,0.04431852510537745,-0.05029651587275958,-0.014640984686671743,-0.054864562436683945,0.06763895671190387,0.009325238318090765,-0.002386056242765798,-0.004338319270384001,0.004866595994962213,0.0011189567432078314,-0.013505860921449645,-0.01911131294515953,0.014900535691437332
job_other,0.23879499580230332,-0.013717040151937764,0.041487776504835726,-0.19595024277574866,-0.06541273986619099,-0.020893256868561194,-0.010452748915756642,-0.03838402379518984,-0.002765591023298884,0.008063322889590292,0.1028947764830727,-0.18035644635771064,-0.06350557405539634,1.0,-0.12674694731673175,-0.06550957914970416,-0.15476138504485376,-0.23817198854259747,0.015075958477497226,-0.02437454324584615,0.01580495758235589,0.08429602160258387,-0.02425500590823909,-0.0777456065279995,0.08729456894944998,-0.002349506268705905,0.1001700672647573,-0.05177269493193738,-0.009376912189993886,0.002885010263003209,0.0702798063244129,-0.026630064451527075
job_pink collar,-0.014959216055795714,-0.00012073233435788561,-0.033159791764870036,0.02277053182549245,0.023017923150206034,-0.003827495741886707,-0.020183512246519722,-0.002602485870455584,-0.010707549242892623,-0.017396887024158952,-0.03248616102122271,-0.19276872211833226,-0.06787607876109081,-0.12674694731673175,1.0,-0.07001800109848497,-0.16541218809133762,-0.25456317643766835,0.023890381552157808,0.010060745311195916,-0.027866433227555058,0.02942528864277522,0.14796328639445716,-0.18147535594329361,-0.00912970174878831,-0.03541418836955007,0.008985059342636069,0.032491513411522586,-0.009596960123169077,-0.005706844819999419,-0.0251605254202822,0.02235041314889068
job_self-employed,-0.008092726378206112,0.004107473047432591,0.017850395467206105,-0.027318952350439293,-0.00788182047919555,0.005061863660584314,0.02639640846133336,0.005479289782792134,-0.01035553239208389,-0.002370967470411101,0.0008550305237892782,-0.09963315193420896,-0.03508197592212705,-0.06550957914970416,-0.07001800109848497,1.0,-0.08549383679434353,-0.13157182013811244,-0.015796244580403757,0.01047197827702394,-0.00018520714380212015,-0.03671498254412545,-0.056242353690684414,0.09741734785303419,-0.01569606136694677,0.015440125669437326,-0.0017156703587822685,-0.015358296182908392,-0.002390287150940541,-0.0019891034761583075,0.0014935443595449887,0.0022463308924965024
job_technician,-0.06863162151433952,-0.0030892706086622134,-0.016183263356168303,-0.012822886858607803,0.014798106700368479,0.032517189744003784,0.03785860849506389,0.020739365232121117,-0.013477571460978194,-0.0011227391610429225,-0.00896981534624379,-0.23537572351781838,-0.08287849279905604,-0.15476138504485376,-0.16541218809133762,-0.08549383679434353,1.0,-0.3108283915384858,0.009273970146801687,-0.06294987805270444,0.061840648874382544,-0.1638589276802193,0.15744338261895824,-0.03466522371184946,-0.02087720326820264,0.05698209791976716,-0.04035717071356114,-0.038252246339058056,-0.005049390343351898,-0.003048753925455742,-0.0029292671261351203,0.006986456257905099
job_white collar,-0.05839639998435028,-0.009136312904998228,0.04076105562625855,-0.02581996011406352,-0.012882760962093936,0.009423930100955134,0.04676432986537722,-0.00036969518777286124,0.01186251639514974,0.026712511447231344,0.03245443831692267,-0.3622344430987712,-0.12754690345811165,-0.23817198854259747,-0.25456317643766835,-0.13157182013811244,-0.3108283915384858,1.0,0.02608981572206971,-0.06883388394637621,0.056317020167726634,-0.22596703951881553,-0.20502281783932694,0.4221865963615123,-0.044755545464610476,0.08899908781744321,-0.03475796664824519,-0.07505881802082814,0.015386108678559425,0.009242688421999646,0.026852518815153777,-0.02960571171010492
marital_divorced,0.16467428405734108,0.017776856903347536,-0.021731603529607128,0.0017780339145812558,0.01637678308624565,-0.0004331109972690565,0.00028143887527809806,-0.01548391505399625,0.002896612453799529,-0.004534419187118334,0.0027723674615931842,-0.0625178919815458,0.003007166555213594,0.015075958477497226,0.023890381552157808,-0.015796244580403757,0.009273970146801687,0.02608981572206971,1.0,-0.4436476765886795,-0.22660221394315816,-0.0071568098795126225,0.01979544708170649,-0.009258560963161066,-0.01566608055963288,-0.006786280673864103,-0.01799314025116313,0.016903626184872064,-0.0018840230307582363,0.0038871700367869347,-0.008490088927336948,0.0034783812888085188
marital_married,0.28625688005680217,-0.01445962856472872,0.025708074232874085,0.01768069436477227,0.036905560848416466,0.007102369259117914,0.06292536650745928,0.03137129047977185,-0.027600379524958186,-0.012690601515911464,-0.06026038456976864,0.1220334330380961,0.04431852510537745,-0.02437454324584615,0.010060745311195916,0.01047197827702394,-0.06294987805270444,-0.06883388394637621,-0.4436476765886795,1.0,-0.772357202844412,0.14141152066699283,-0.01772387895517133,-0.0960191922048211,0.009610455521609206,-0.043477418799089486,0.04897000772185905,0.019341794821282007,-0.00451649942475026,-0.027569678717052914,-0.018483590080418315,0.026338119605742356
marital_single,-0.42781660794189463,0.003115195196090488,-0.012537001519128633,-0.020475489495053893,-0.05171594267798864,-0.007411851702372736,-0.0685864675960339,-0.023119848116356003,0.02794297148729272,0.017005885604490505,0.06352577267586335,-0.08831540903586528,-0.05029651587275958,0.01580495758235589,-0.027866433227555058,-0.00018520714380212015,0.061840648874382544,0.056317020167726634,-0.22660221394315816,-0.772357202844412,1.0,-0.14861294853695,0.005232078550970757,0.1109152767769868,0.0006588371952753556,0.052060876945115554,-0.04046762271676885,-0.03300112680139779,0.00624382406257681,0.02720754191809991,0.02610528509654984,-0.031089471190725325
education_primary,0.19618186484906786,0.001622659171145462,-0.015451479573056275,0.010670826236473304,-0.01239572516667326,-0.01955121411952221,-0.026488649459929348,0.009615818359341586,-0.017372741959180555,-0.0167052740506434,-0.04039340313111409,0.342687866062753,-0.014640984686671743,0.08429602160258387,0.02942528864277522,-0.03671498254412545,-0.1638589276802193,-0.22596703951881553,-0.0071568098795126225,0.14141152066699283,-0.14861294853695,1.0,-0.43391058091111184,-0.27284526988434166,-0.08746394253195738,-0.1123069812430047,0.07084060498723142,0.08010384990803587,-0.019775782262982704,-0.010871213657525247,-0.03293670861009155,0.0368027023900003
education_secondary,-0.09397944550276952,0.013220151081756365,-0.06993650681785359,0.10165912859172173,0.0706252621053791,-0.0058305486528266275,-0.04988098850653354,-0.020892593551716913,0.02210507932832222,-0.005603327579466985,-0.0363877310267277,0.040548394566717924,-0.054864562436683945,-0.02425500590823909,0.14796328639445716,-0.056242353690684414,0.15744338261895824,-0.20502281783932694,0.01979544708170649,-0.01772387895517133,0.005232078550970757,-0.43391058091111184,1.0,-0.6628897452789013,-0.21249754709203816,-0.03157935916332659,-0.02279719686339121,0.04565919075030809,0.010510194509860245,0.009568426598337867,-0.024728414383679603,-0.0018473913341890296
education_tertiary,-0.08162943753910423,-0.015239447542722797,0.08400074671148651,-0.0991751395701257,-0.04594006788659677,0.021730463503722045,0.08212050171869203,0.012865902884877616,-0.007567977238784879,0.022887559815469995,0.06644826092046835,-0.3205411229265134,0.06763895671190387,-0.0777456065279995,-0.18147535594329361,0.09741734785303419,-0.03466522371184946,0.4221865963615123,-0.009258560963161066,-0.0960191922048211,0.1109152767769868,-0.27284526988434166,-0.6628897452789013,1.0,-0.1336195823212016,0.14464062018054563,-0.04471864284337751,-0.12835937648358897,0.007827493090606914,0.0006571585305069666,0.047927152020071036,-0.02893653983770674
education_unknown,0.06966459838735731,-0.0012358737352566541,0.011180511324818083,-0.04759514446024794,-0.04999243439613122,0.00011356463221928934,-0.01507088168665684,0.005703749072767865,-0.006907055187152911,-0.00825734032863717,0.012053152233828673,0.014715447652295866,0.009325238318090765,0.08729456894944998,-0.00912970174878831,-0.01569606136694677,-0.02087720326820264,-0.044755545464610476,-0.01566608055963288,0.009610455521609206,0.0006588371952753556,-0.08746394253195738,-0.21249754709203816,-0.1336195823212016,1.0,-0.04966266243923108,0.03210131726318686,0.03500240761736285,-0.008712711111929719,-0.005965524260541852,0.0117425785363282,0.004600035162820206
contact_cellular,-0.06837521103266754,-0.010061071606812085,0.015879609618145565,-0.1560708266401961,0.013603859057952021,0.020185830683508203,0.15367724025278037,-0.032270965181251346,0.22599632791732166,0.13171670802526825,0.13587293551748106,-0.129315911419099,-0.002386056242765798,-0.002349506268705905,-0.03541418836955007,0.015440125669437326,0.05698209791976716,0.08899908781744321,-0.006786280673864103,-0.043477418799089486,0.052060876945115554,-0.1123069812430047,-0.03157935916332659,0.14464062018054563,-0.04966266243923108,1.0,-0.3554031017671997,-0.8623975549986215,0.20173154963954887,0.10432130715116138,0.10466548553654259,-0.2644255062410382
contact_telephone,0.17034902808248054,-0.017208037840598014,0.037998519569530174,-0.08082223206840054,-0.01318318200462022,0.023652235356222885,0.037627530251197056,0.05389502692215278,0.01600635832156349,0.02809665002142706,0.014042471738762469,-0.0031901718668915758,-0.004338319270384001,0.1001700672647573,0.008985059342636069,-0.0017156703587822685,-0.04035717071356114,-0.03475796664824519,-0.01799314025116313,0.04897000772185905,-0.04046762271676885,0.07084060498723142,-0.02279719686339121,-0.04471864284337751,0.03210131726318686,-0.3554031017671997,1.0,-0.1666825797290638,0.0075372727170901896,0.02635143055906073,0.00846950480507498,-0.02348663271769934
contact_unknown,-0.020131718682961715,0.01993293521829795,-0.03733072177605249,0.20840860592259264,-0.007210560630094247,-0.03410346090700856,-0.18248982416922635,0.00485298304439117,-0.24706799754956132,-0.1541622551573767,-0.15093497075758547,0.1381405931903527,0.004866595994962213,-0.05177269493193738,0.032491513411522586,-0.015358296182908392,-0.038252246339058056,-0.07505881802082814,0.016903626184872064,0.019341794821282007,-0.03300112680139779,0.08010384990803587,0.04565919075030809,-0.12835937648358897,0.03500240761736285,-0.8623975549986215,-0.1666825797290638,1.0,-0.21688478216467272,-0.12431818830808868,-0.11499657668550416,0.29165743100890723
poutcome_failure,-0.004927037457719753,-0.026388629460587676,0.011856806199041893,0.10679487664200656,-0.0021858917305496626,-0.0687001035008209,-0.05595810173798816,-0.08813116291981736,0.7010523794843007,0.3506267346608484,0.009885453006028591,0.00225446821632616,0.0011189567432078314,-0.009376912189993886,-0.009596960123169077,-0.002390287150940541,-0.005049390343351898,0.015386108678559425,-0.0018840230307582363,-0.00451649942475026,0.00624382406257681,-0.019775782262982704,0.010510194509860245,0.007827493090606914,-0.008712711111929719,0.20173154963954887,0.0075372727170901896,-0.21688478216467272,1.0,-0.07181995783426609,-0.06483767987884277,-0.7379321781429691
poutcome_other,-0.02296704522497965,-0.014445338108268249,0.008465527271539345,0.039709533570185765,-0.009099203932000628,-0.03295157060205741,-0.06262596846966643,-0.02010717695242074,0.3897912127124786,0.30661522137241715,0.031955010866487915,0.001341792321319697,-0.013505860921449645,0.002885010263003209,-0.005706844819999419,-0.0019891034761583075,-0.003048753925455742,0.009242688421999646,0.0038871700367869347,-0.027569678717052914,0.02720754191809991,-0.010871213657525247,0.009568426598337867,0.0006571585305069666,-0.005965524260541852,0.10432130715116138,0.02635143055906073,-0.12431818830808868,-0.07181995783426609,1.0,-0.03830017050060574,-0.435902831402681
poutcome_success,0.03552574426446616,-0.02334416448569341,0.03524034169236904,-0.09136026313762356,-0.05371260136870152,-0.03032067122403714,0.033700429887839126,-0.0574863893644998,0.2285388865128888,0.20142400926015605,0.30678821065129014,-0.053073791526025246,-0.01911131294515953,0.0702798063244129,-0.0251605254202822,0.0014935443595449887,-0.0029292671261351203,0.026852518815153777,-0.008490088927336948,-0.018483590080418315,0.02610528509654984,-0.03293670861009155,-0.024728414383679603,0.047927152020071036,0.0117425785363282,0.10466548553654259,0.00846950480507498,-0.11499657668550416,-0.06483767987884277,-0.03830017050060574,1.0,-0.39352471225329405
poutcome_unknown,-0.0008163903957838517,0.039489829965872976,-0.030270507679457825,-0.06375525278251405,0.031406267179340794,0.08625637134115209,0.061391348012462224,0.10796520105273955,-0.8699624041869379,-0.5327628069522209,-0.1670506769848284,0.022194397980248092,0.014900535691437332,-0.026630064451527075,0.02235041314889068,0.0022463308924965024,0.006986456257905099,-0.02960571171010492,0.0034783812888085188,0.026338119605742356,-0.031089471190725325,0.0368027023900003,-0.0018473913341890296,-0.02893653983770674,0.004600035162820206,-0.2644255062410382,-0.02348663271769934,0.29165743100890723,-0.7379321781429691,-0.435902831402681,-0.39352471225329405,1.0
